Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"69.00000","1.72505","2.20366"
"69.10000","1.72760","2.20366"
"69.20000","1.72998","2.20991"
"69.30000","1.73247","2.19557"
"69.40000","1.73502","2.20212"
"69.50000","1.73751","2.19422"
"69.60000","1.73995","2.22404"
"69.70000","1.74256","2.22535"
"69.80000","1.74494","2.21944"
"69.90000","1.74754","2.22235"
"70.00000","1.75009","2.22950"
"70.10000","1.75247","2.25866"
"70.20000","1.75502","2.23414"
"70.30000","1.75757","2.21691"
"70.40000","1.76007","2.23932"
"70.50000","1.76250","2.24057"
"70.60000","1.76511","2.24757"
"70.70000","1.76755","2.24764"
"70.80000","1.77004","2.25472"
"70.90000","1.77253","2.24422"
"71.00000","1.77497","2.27485"
"71.10000","1.77758","2.28810"
"71.20000","1.78013","2.24153"
"71.30000","1.78251","2.28907"
"71.40000","1.78506","2.28996"
"71.50000","1.78749","2.32010"
"71.60000","1.79004","2.28832"
"71.70000","1.79259","2.27805"
"71.80000","1.79492","2.25916"
"71.90000","1.79752","2.30468"
"72.00000","1.80007","2.29528"
"72.10000","1.80251","2.28286"
"72.20000","1.80500","2.29714"
"72.30000","1.80744","2.30153"
"72.40000","1.80999","2.28977"
"72.50000","1.81260","2.32239"
"72.60000","1.81509","2.33314"
"72.70000","1.81747","2.29128"
"72.80000","1.82008","2.32128"
"72.90000","1.82268","2.30825"
"73.00000","1.82506","2.34883"
"73.10000","1.82744","2.30812"
"73.20000","1.83005","2.33043"
"73.30000","1.83260","2.31557"
"73.40000","1.83515","2.33068"
"73.50000","1.83747","2.34413"
"73.60000","1.84002","2.32805"
"73.70000","1.84252","2.34341"
"73.80000","1.84512","2.33296"
"73.90000","1.84750","2.37217"
"74.00000","1.85000","2.37428"
"74.10000","1.85249","2.33321"
"74.20000","1.85510","2.33712"
"74.30000","1.85753","2.36471"
"74.40000","1.85991","2.37021"
"74.50000","1.86252","2.36535"
"74.60000","1.86507","2.37245"
"74.70000","1.86762","2.31999"
"74.80000","1.87000","2.36757"
"74.90000","1.87249","2.38131"
"75.00000","1.87504","2.39074"
"75.10000","1.87759","2.34776"
"75.20000","1.88003","2.35016"
"75.30000","1.88252","2.37445"
"75.40000","1.88496","2.37156"
"75.50000","1.88757","2.38755"
"75.60000","1.89012","2.41697"
"75.70000","1.89255","2.42751"
"75.80000","1.89505","2.36890"
"75.90000","1.89760","2.38796"
"76.00000","1.90009","2.39815"
"76.10000","1.90253","2.42263"
"76.20000","1.90496","2.39161"
"76.30000","1.90751","2.39329"
"76.40000","1.91006","2.40147"
"76.50000","1.91256","2.40131"
"76.60000","1.91499","2.40945"
"76.70000","1.91749","2.41768"
"76.80000","1.92009","2.44191"
"76.90000","1.92259","2.44592"
"77.00000","1.92497","2.45073"
"77.10000","1.92752","2.43793"
"77.20000","1.93001","2.42454"
"77.30000","1.93256","2.40330"
"77.40000","1.93505","2.39716"
"77.50000","1.93755","2.41056"
"77.60000","1.93998","2.42914"
"77.70000","1.94259","2.49319"
"77.80000","1.94503","2.44540"
"77.90000","1.94758","2.45571"
"78.00000","1.95007","2.45786"
"78.10000","1.95262","2.45576"
"78.20000","1.95506","2.44315"
"78.30000","1.95749","2.45130"
"78.40000","1.95999","2.47710"
"78.50000","1.96254","2.44337"
"78.60000","1.96503","2.43328"
"78.70000","1.96752","2.48351"
"78.80000","1.97002","2.50127"
"78.90000","1.97245","2.49391"
"79.00000","1.97500","2.49824"
"79.10000","1.97755","2.47029"
"79.20000","1.97999","2.53511"
"79.30000","1.98254","2.45209"
"79.40000","1.98509","2.49382"
"79.50000","1.98747","2.50240"
"79.60000","1.99002","2.48296"
"79.70000","1.99263","2.50810"
"79.80000","1.99506","2.45902"
"79.90000","1.99756","2.49196"
"80.00000","1.99999","2.52086"
